Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Year
Penn State,18,40.6,22.3,55.7,0.4,6.9,21.8,0.318,12.8,17.8,0.719,11.6,19.9,9.1,23.7,32.8,10.5,4.8,4.1,64.3,2016
Holy Cross,18,40.6,22.1,54.7,0.403,6.3,21.2,0.299,13.8,20.1,0.69,10.4,17.6,7.8,21.6,29.4,13.3,6.2,2.6,64.3,2016
Air Force,18,40,21.7,52.5,0.413,6.9,19.7,0.349,13.4,19.4,0.691,12.8,19.3,7.2,24.5,31.7,12.4,5.6,1.6,63.7,2016
Seattle,14,40,22.3,53.1,0.419,5.8,17.2,0.336,13.2,19.3,0.685,15.4,20.4,10.6,24,34.6,11.4,5.4,1.8,63.6,2016
Loyola (IL),18,40.8,22.4,52.6,0.426,5.4,17.2,0.317,13.1,17.4,0.751,12.2,19.3,6.4,22.7,29.1,10.3,5.7,2.6,63.3,2016
Drake,18,40.3,22,51.7,0.425,6.1,17.2,0.352,13,17.6,0.738,14.2,18.2,7.6,24.4,31.9,11,3.8,2.3,63.1,2016
Texas Christian,18,40,20.9,54.6,0.384,5.6,16.8,0.334,15.2,23.1,0.659,14.2,20.1,9.5,20.9,30.4,10.1,6.2,3.2,62.7,2016
Binghamton,16,40.3,22.8,53.9,0.422,5.6,18.3,0.304,11.6,17.6,0.662,14.3,18.2,9.9,24.2,34.1,11.8,5.9,2.4,62.7,2016
Niagara,20,40,21.9,55.6,0.394,4.8,17.4,0.279,14,19.8,0.709,14.2,19.5,11.1,23.8,34.9,10.7,5.3,2.6,62.6,2016
Drexel,18,40,21.7,55,0.395,5.6,17.1,0.326,13.4,19,0.705,10.5,20.9,9.4,21.6,31,12.6,4.8,3.3,62.4,2016
Oklahoma State,18,40.6,21.4,52.6,0.408,6.6,20.8,0.318,12.9,18.1,0.712,13.2,20.6,9.3,22.3,31.6,11.9,5.8,3.4,62.4,2016
South Florida,18,40,22.9,54.5,0.42,3.9,12.9,0.306,12.5,18.4,0.678,14.4,17,11.4,24.2,35.6,9.9,4.4,4.8,62.2,2016
Grambling State,18,40.6,20.4,48.9,0.417,4.7,16.8,0.278,16.1,24.9,0.646,13.1,20.2,8.4,22.7,31.1,8.2,5.9,1.1,61.6,2016
Savannah State,16,40.3,20.4,51.8,0.395,6.1,21,0.289,14.6,21.5,0.677,13.5,19.7,8.4,22,30.4,10,6.1,2.8,61.5,2016
Chicago State,14,40,22.2,59.8,0.372,5.9,22.1,0.265,11.1,17.3,0.645,12.3,22,11.8,22.4,34.1,10.3,7.3,2.9,61.4,2016
Cleveland State,18,40.3,22.2,53.9,0.411,5.2,15.8,0.326,11.8,17.1,0.691,14.6,20.8,8.7,23.3,32,10.3,5.1,2.8,61.3,2016
La Salle,18,40,21,53.9,0.39,8.7,25.4,0.341,10.6,16.4,0.644,12.8,17.1,8.1,20.8,28.9,13.1,6.3,2.8,61.2,2016
Miami (OH),18,40,21.4,53.8,0.398,5.4,17.9,0.304,13,18.2,0.713,11.8,18,8.9,22.9,31.9,9.3,6,2.3,61.2,2016
San Diego,18,40,21.3,53.9,0.396,5.9,20.8,0.285,12.5,17.6,0.71,14,21.8,8.6,22.4,30.9,10.8,4.2,3.7,61.1,2016
Charleston,18,40.6,22.1,55.1,0.401,6.4,19.6,0.33,9.7,14.6,0.665,12.3,19.4,10.8,22.6,33.4,10.7,6.5,2.4,60.3,2016
UC Davis,16,40.9,22,53.4,0.412,5.2,14.9,0.349,10.9,16,0.684,13.9,17.1,7.8,23.6,31.4,11.1,6,1.6,60.1,2016
Arkansas-Pine Bluff ,18,40.3,21.5,50,0.43,6.1,20,0.303,10.5,17.2,0.612,14.7,20.9,8.9,21.2,30.1,9.4,6.3,4.2,59.6,2016
American University,18,40.6,19.9,47.7,0.417,6.7,18.9,0.355,12.2,16.8,0.726,12.6,18.4,6.3,21.3,27.7,11.3,5.3,1.9,58.7,2016
Boston College,18,40,21.1,54,0.39,7.1,22.3,0.317,7.3,11,0.662,14.4,17.9,7.4,20.9,28.3,12.2,5.7,2.2,56.4,2016
Bradley,18,40,18.6,48.6,0.382,5.2,17.6,0.297,12.4,18.1,0.684,17.2,23.1,7.6,24.3,31.9,9.7,4.7,2.2,54.7,2016
